看板,關鍵字,URL,內容,,,,,,,,,,
mood,研究所,/f/mood/p/255126267,家姐是特殊生，從小我父母就時常向我訴苦要我體諒，不然就是希望我能替他們解決姐姐生活上的問題，若我解決不了或結果不如他們的預期我就會被父母指責或酸言酸語，我一直告訴自己這是我該承受的或可能是前世積欠的業障。 近期我研究所快畢業了，讀研究所前我其實不確定讀研究所是不是自己要的，只因父母說了一句姐姐都沒辦法滿足我的顏面了，你還不能做到嗎？我拼命的進入研究所，讀研過程中家人不時提醒我他們很累不能退休，我半工半讀，過程中還被父母說是自己死愛錢，不盡責扮演好學生角色，我咬牙努力力拚以一年半的時間畢業。 如今我即將畢業，準備進入職場，父母又開始耳語希望我投入教甄，但我有其他的職涯規劃（亦是心中有所顧慮家中因素），與父母表示意見卻只換來他們的嘲諷，有時覺得我自己會拼了命滿足家人，卻滿足不了家人，有時候情緒跟心境會莫名鬱悶負面，但有時又會覺得人生好像本來就應該承擔責任，近期我陷入矛盾有點自我懷疑到底是不是自己不夠成熟，也不知道是不是心中壓力已超過負荷，潛意識開始逃避，可是理智又告訴我不應該這樣要hold住，自己一定可以承擔，要能成為姐姐的依靠，要減輕父母的負擔，讓父母感到欣慰…心情真的好亂… p.s很感謝看到這裡的大家，感謝留言提出建議或鼓勵，討厭負能量的讀者先再此說聲抱歉了,,,,,,,,,,
mood,研究所,/f/mood/p/255156117,小弟不才有幸洗上頭上這間某化開頭的研究所 大學時成績不錯，書卷拿了好幾次，自認應該算蠻認真的 當然人外有人啦，不敢說自己多厲害 但在這修課時發現好多東西都忘了 什麼微分方程、線性代數全部還給教授 （研究做跟運算無關的平常沒用到） 修課起來超級痛苦 看著身旁的大學生上課時都一副「這超簡單」的眼神 不禁懷疑自己到底有沒有這個能力在這生存==  翻著過去的筆記，完全不知道為什麼當年會算這些東西 現在卻爛成這樣 更不知道出社會後這些數學的東西以後工作會不會用到 超級焦慮  這堂課是選修，學分已經夠了 只是覺得想學走一些研究以外的知識，但明顯能力不足 是我想太多還是我真的超爛 好煩,,,,,,,,,,
mood,研究所,/f/mood/p/255250059,這是最近在研究所生活中遇到的困境。  一直以來生活、做事的動機都是為了別人，為了符合他人的期待，為了獲得他人的肯定。  時常會把自己的事情放在最後去幫忙其他人，從不熟的系館打掃阿姨到實驗室的夥伴，因為這是別人對我的期待，同時也因為自己也不知道自己想要什麼。  最近跟女友分手，對於畢業後生活的憧憬幾近瓦解，雖然表面上看起來沒有很難過，但實際上日子過得一團糟，對於學術的熱忱歸零、原本的興趣也不再那麼熱衷。  好幾次想要休學，但想到同學的實驗會沒人幫忙，且連假回家，看到媽媽微笑迎接的樣子，知道媽媽對自己的期望。  都讓我意識到自己必須把已經到嘴邊的想休學三個字吞回去。  當然，這些話也不是別人想聽的，畢竟沒人想被本不屬於自己的負面情緒給影響，所以我只能在這裡說，這樣才能符合別人的期待。,,,,,,,,,,
mood,研究所,/f/mood/p/254734808,先說本人的背景 大學：私立科大外文系畢 工作經歷：安親班老師 技能：似乎沒什麼專業 多益成績：450  讀半學期的研究所 發現未來沒有想走教育類 目前也有其他明確領域的行業  不過被教授一說 教授挽留了 他認為我剩下一年時間 就努力點拿到碩士學位 到時候再拿著學位考公職也不遲 （這段時間也很拼命在準備提升自己的多益成績  但目前我主要是想先放棄研究所  找正職工作自己也有一點收入 邊準備考多益 準備專業技能證照  我現在有兩個想法可以請大家給我些建議嗎 1.繼續讀研究所 到暑假休學  或許三個月的時間準備多益 是足夠的 2.放棄研究所 找份正職工作 假日讀在職專班,,,,,,,,,,
mood,研究所,/f/mood/p/254983321,為什麼一堆人可以光靠家教 一個月收入就破萬的… 大家都開多少啊？ 頂大畢業 目前頂大電資研究所 目前開國中數學理化600/hr 是我太廉價了嗎⋯⋯,,,,,,,,,,
mood,研究所,/f/mood/p/254781988,覺得讀研究所越來越痛苦 我之前大學沒跟過實驗 進實驗室也已經從去年六月底到現在了 但是就是一些東西我根本不知道那是要去注意的東西 應該是學長姐或是同學他們之前大學都有待過實驗室所以覺得那些東西就應該要知道去注意的 所以不會特別跟我們提醒 但我不知道… 還有報告seminar 或是meeting報告 每次都報告得很糟糕 每次到我都要花好多時間 其他人都好順利的報完 每次到我每一頁老師都要講 還有實驗 有時候我真的不知道要怎麼去安排適當量的細胞 預備給下次的實驗 或是接下來要做什麼我也不太知道 還有我真的好討厭六日或是國定假日還要去實驗室 我就想好好待在家放假一下,,,,,,,,,,
mood,研究所,/f/mood/p/255088470,我堂姐說小時候我媽揍我的樣子很可怕，像失心瘋那樣；長大了研究所讀得不順遂，又剛好想到媽媽說她考大學失利的故事（想唸藝術學院，但應屆沒考上就去工作，之後就沒有再回去唸了）  現在的我大概可以理解為何他會這麼失控了（我自己的理解是因為挫折感，也許是恨自己不成才，所以有怨氣）  然後自己現在寫code跟看論文都好頓,,,,,,,,,,
mood,研究所,/f/mood/p/255110988,這是今年過年突然有的感覺 我父母在去年都剛滿60歲了 原本沒有什麼特別的感觸 卻因為一次幫他們拍照 讓我突然覺得：  「怎麼突然時間過這麼快？」  另外，也對生活的看法產生小變化 這個變化老實說我不知道對不對 也許你看完後也可以和我說說想法 那麼，事不宜遲 希望你會喜歡囉：）  ----------------------------------------------------------  【故事開始】  我還是先從我大學生活開始說起 我認為20~30歲之間就是要努力 除了努力增進自己的能力之外 也要努力認識自己 畢竟30~50甚至60歲之間 我很有可能就從事一個領域的工作 然後人生就這樣結束 這還不需要好好思考嗎XD  因此，我從大學開始 幾乎就沒有回家過 一部分是真的從大二開始 我就想要認真學程式 大三大四又瞞著父母默默創業  當然，有時候忙也是藉口 因為假日我都在遊山玩水玩遊戲 畢竟，我想要過我自己想要的生活  就這樣一路到研究所 研究所我更是可能半年回家一次 還是父母來找我 我才會一起和他們見面 但這真的不是藉口XD 因為我研究所真的很忙 還忙到被出版社找去出書呢！  但是，今年過年和家人回老家後 過程我們有出去玩一下 我拍了這張照片  照片可能看不太出來 但白頭髮怎麼會這麼多！ 而且肉眼看的話 我也發現我父母的皺紋變多了（被揍）  說實在的 這有點讓我難過 因為再加上我姐姐生小孩 我突然覺得大家都長大了 世界也整個變了  畢竟這段時間 我幾乎都把重心放在自己身上 我只關心我的產品、我的書 今天要設計什麼桌遊呀 明天要寫書的哪一個段落呀 後天又要去哪裡講課呀 雖然對外都一直說我創業快滿五年了 但其實一直對這五年都沒什麼感觸 直到我看到我家人的變化 才突然覺得時間過好快  前陣子看一本書 我好像也有分享過 他說：  「有些事只有特定歲數時才能做。」  裡面就有提到：  「父母有一天會老到沒辦法和你去旅遊」  哇！真的超糾結 這完全與我原本的思維不同 原本對我來說，就是要趁年輕全力拚 但這同時會讓我失去與家人互動的時間 現在雖然我因為服替代役所以回家 但之後呢？我還要繼續全力拚嗎？ 或是有什麼折衷的作法？  一直有在看我文章的人 應該知道我真的有點工作狂 假日就是要拿來工作！ 因為這是我超越別人的機會！ 很多人也是因為全力拚之後 才能獲得不少成就 我忘記之前聽過一位成功人士說過一句話：  「這輩子做過最正確的決定就是離開家裡。」  這概念我甚至到現在也認同 不離開家裡，我不會有今天  但是我現在又有了新的慾望 就是我也想和家人多聚聚 開始有點擔心之後的假日 我還是想要稍微工作或做自己的事 我相信很多人都會這麼做 不過，我同時也很害怕 當父母無法與我出去晃晃的那天到來 我知道這是必然會到的 但到了那時候  「我會不會後悔全力拚的這個決定？」  我必須老實說 現在我內心的答案還是偏向我要努力 畢竟我還是有自己的理想與生活 而且我的理想......可能真的要花上不少時間 目前有一個點子啦！  就是真的努力繼續創業 直到可以完全居家辦公或數位游牧 這樣我就可以一邊工作一邊陪家人啦！ 啊啊別誤會 我其實很難和父母長時間一起住 我的意思是時間非常彈性 未來可以隨時到我父母家，或父母來我家聊天XD （真的住在一起我會瘋掉）,,,,,,,,,,
mood,研究所,/f/mood/p/255073600,小女子目前在日本攻讀碩士，因為是新生的關係所以最近跟一個神戶大學的留日前輩聊天，他說他被一個“早稻田別科”的留學生嗆：「喔~你讀神戶的大學院（日本的研究所）喔？雖然神戶也還不錯啦，但我是早稻田的。」    真的很不好意思耶小姐，雖然我知道早稻田跟慶應都是名校，但是妳讀的是“別科”，相當於大學的語言中心而已，又不是正式學歷，妳憑什麼看不起考上國立大學的人？    妳如果是實力滿滿考上早稻田的大學或是早稻田的大學院真的沒人會覺得怎麼樣，被嗆也會心服口服。    但是妳憑良心說，妳自己會覺得在台灣頂大語言中心讀書的外國人很厲害嗎？如果不會的話真的希望妳可以低調一點，不要到處說自己是“名校生”，別人看在眼中說不定笑在心裡。  ,,,,,,,,,,
mood,研究所,/f/mood/p/254782476,如上所述，前一陣子在AZ平台上買了一位美國老師的英文課，剛開始一切都好好的，一直到有一次我跟他說我想要申請美國研究所後，他就開使用一種很不可思義、荒謬的眼神跟我說：  「你的英文能力根本跟美國小學生一樣，你根本不可能上研究所」  接下來的每一堂課簡直都跟惡夢一樣 例如： 1. 他開始問我一些很基本的英文問題，並一直糾正我的文法跟介系詞錯誤，每次只要我回答錯他就會說：「你看，連這麼簡單的錯誤都會犯，你回去根本沒有複習，我真的對你很生氣也很失望」、「我教過很多跟你同年紀的學生，他們的口說都比你好好好好好非常多，你根本沒辦法跟他們比」、「依你的英文程度公司根本不會錄取你」等等 每次聽到他講這次話我當下都只能尷尬的傻笑，但內心真的超級想哭，英文真的是我已經花很多時間讀的科目（之前托福89分）但在口說的部分，從小就沒有經過專業的訓練，要在短時間內記住這些介系詞跟調整口說文法的習慣真的好難….   2. 他講話真的非常直接，像是有一次我上課不小心遲到三分鐘，他整堂課至少反覆提及這件事情三次以上，我當下一進教室就有跟他道歉也說下次會準時上課，但他就一直提這件事然後對我說：you are so rude. 並且還會瘋狂批評我的英文之後，在接近下課的時候跟我說 I am not mean to you. If you were my college student,,,,,,,,,,
mood,研究所,/f/mood/p/254843698,才放榜三間心態就崩了 交大中央連備取都沒有 成大備到一個危險邊緣 預期成績跟實際落差好大 好想哭出來但一整天只覺得好空虛 知道要好好放鬆但心裡感覺好焦躁,,,,,,,,,,
mood,研究所,/f/mood/p/254595671,雖然標題這樣打，但我知道一定不能這樣概括，只是我的母親大人好像就是這麼想的  剛才坐在客廳和弟弟閒聊有朋友考上研究所表示恭喜，媽媽突然插話覺得我們以後不讀研究所人生就會很可悲很可笑，弟弟不認同這樣的言論，但媽媽卻把矛頭轉向我，開始數落我的人生  我已經不想解決問題，因為感覺要一把年紀的成年人改變固有想法是不可能的事，我只想知道要怎麼調適這樣的心情（要如何不在意家人的貶低🥲）,,,,,,,,,,
mood,研究所,/f/mood/p/254771597,我是女生借帳號  有人跟我一樣嗎⋯⋯讀研究所後明明飲食也跟之前減肥時差不多（原型食物為主，不是仙女餐） 但體重和肥肉感覺越來越猖狂….. 以前從來不胖腰的，上研究所之後腰間肉直接炸出來…. 很多好看的衣服穿起來都變得好腫 雙下巴也是 大學拍畢業照是我人生最瘦的時期（163/48….也是難得減到50以下）  從小就不是天生纖細骨感的女生 普通人甚至骨架是偏大、骨頭偏粗 尤其現在幾乎每個女生都超級瘦 走在路上真的超級自卑  壓力加上沒像大學這麼頻繁的活動真的會胖這麼快嗎⋯⋯ 我原本都維持在163/50-52之間 研究所後逼近60🫠,,,,,,,,,,
mood,研究所,/f/mood/p/254976059,如題 自己本身是慢熱又內向的個性 在求學的每個階段，雖然不至於沒朋友，但隨著學校不同，生活圈改變，這些朋友也都漸漸沒了聯絡 出社會後有聯絡的也就5根手指頭以內，其中2位認為是真正的知心好友（能夠分享感情、工作），一直以來都知道自己朋友很少，所以非常珍惜 但...最近發現事實也許不一樣  朋友1👱 高二認識的朋友，目前唯一有在聯繫的高中好友 每年都會約出來吃飯或是旅遊 前陣子交了男友後變得越來越難約（這個可以理解） 讓我不能接受的，是訊息回覆越來越敷衍，不然就是已讀不回 甚至前陣子我們出去玩，全程一直用手機玩寶可夢，覺得有點不尊重。然後一直在我面前說：我閨蜜（他其他朋友，我不認識）怎樣怎樣 我心想：所以...我不是你閨蜜囉？ 當然我只是在心裡想想，但感受真的說不上好  朋友2🧑‍🦰 大學社團朋友 這位更妙，大學時期還不錯，有一起出國玩，也是曾經的室友 但出社會後，基本上我不主動聯絡，他完全不會主動，我們的相處一直是我主動邀約，他看情況配合 這位朋友前年到國外唸研究所，本就頻率少的可憐的聯繫，變得更加微乎其微 原本說好如果有回臺灣會約見面，結果...當他真的回來，我卻完全不知道。他和其他朋友相約見面（在fb上看到），卻連跟我說一聲他回國的消息都沒有，因為平時很少用社群軟體，等知道他回國的消息後，他早就回國外了！ 知道這件事後真的覺得難過 感覺至始至終其實沒被放在心上...  有時後覺得女人的友情真的很複雜。人生中真的有像電視漫畫上演的那種願意兩肋插刀、無堅不摧的友情嗎？到底什麼才是真正的朋友，我也還一直在尋找  我一直堅信朋友貴在精不在多，但驀然回首才發現，一直以來也許只是自己一廂情願罷了！  出社會後忙碌工作，連交朋友的心力都沒有。對於這2位僅存的友人，我究竟是該放手，獨自美麗，還是再努力努力經營這搖搖欲墜的友情呢？,,,,,,,,,,
